PassengerId,Survived
132,0.3
39,0.6
756,0.8
660,0.4
799,0.53
683,0.0
840,0.8
706,0.0
122,0.0
115,0.26666666666666666
250,0.0
491,0.0
161,0.0
831,0.3
58,0.505
750,0.2361111111111111
214,0.3
124,1.0
47,0.0
94,0.0
611,0.3
667,0.0
821,1.0
302,0.0
614,0.13538461538461538
142,1.0
162,1.0
508,0.6
110,0.1
464,0.0
792,0.1
316,0.5
389,0.0
398,0.3
169,0.0
884,0.1
92,0.1
252,0.3
647,0.0
808,0.9
593,0.0
856,0.7
836,1.0
861,0.0
758,0.0
868,0.3
715,0.0
187,0.8
5,0.1
740,0.0
752,0.7
455,0.0
687,0.1
120,0.1
537,0.6
573,0.8
580,0.5
805,0.1
606,0.0
618,1.0
569,0.58
589,0.0
240,0.2
347,1.0
695,0.4
271,0.6
490,0.9
854,1.0
90,0.0
51,0.0
588,0.2
680,0.6
327,0.0
314,0.0
315,0.0
381,1.0
144,0.4
188,0.4
8,0.7
276,0.9
690,1.0
820,0.0
118,0.1
104,0.0
710,0.8
9,0.7
712,0.8
887,0.1
332,0.1
11,0.6
698,0.8137121212121212
562,0.0
330,1.0
873,0.0
288,0.0
450,0.4
93,0.3
475,0.3
311,0.9
45,0.8
55,0.1
30,0.0
160,0.1
818,0.1
625,0.2
64,0.2
254,0.1
564,0.0
225,0.3
841,0.6
643,0.1
809,0.0
268,0.02857142857142857
852,0.0
832,0.8
103,0.6
615,0.1
53,1.0
771,0.2
234,0.1
210,0.1
220,0.2
847,0.0
191,1.0
32,0.8
665,0.5
147,0.08
492,0.0
461,0.3
511,0.13538461538461538
282,0.1
465,0.0
200,1.0
153,0.1
505,1.0
886,0.3
436,1.0
694,0.0
20,0.7
640,0.0
526,0.025
29,0.9
417,1.0
472,0.0
405,0.5
673,0.0
371,0.5
468,0.1
463,0.3
40,0.2
31,0.6
849,0.1
383,0.5
875,0.9
419,0.3
525,0.58
502,1.0
352,0.9
435,0.4
548,0.0
308,0.9
716,0.1
442,0.0
423,0.175
692,0.7666666666666666
728,0.8137121212121212
620,0.0
76,0.1
629,0.0
482,0.0
230,0.0
13,0.6
503,0.7470454545454546
427,0.8
797,0.4
837,0.3
167,1.0
266,0.0
289,0.0
748,1.0
136,0.0
196,0.8
28,0.3
787,0.9
251,0.075
102,0.0
557,1.0
842,0.7
778,0.8
610,1.0
203,0.0
395,0.9
783,0.9
653,0.2
361,0.1
714,0.4333333333333333
46,0.0
447,1.0
157,1.0
70,0.3
105,0.0
790,0.0
181,0.0
78,0.0
223,0.3
22,0.3
50,0.9
784,0.0
320,1.0
336,0.0
718,0.9
428,1.0
305,0.0
414,0.0
19,1.0
100,0.2
860,0.58
571,0.3
811,0.0
125,0.4
326,1.0
834,0.1
149,0.1
549,0.0
637,0.5
135,0.0
134,1.0
38,0.4
163,0.09523809523809523
595,0.1
552,0.3
554,0.0
759,0.1
532,0.58
628,1.0
128,0.1
301,0.8137121212121212
676,0.1
180,0.4
725,0.4
612,0.0
218,0.0
654,0.9
685,0.0
358,1.0
72,0.0
550,0.8
379,0.7
535,0.3
495,0.4
260,1.0
723,0.1
531,0.6
779,0.0
724,0.0
586,1.0
295,0.0
114,0.3
691,0.6
52,0.5
10,1.0
540,1.0
341,0.9
197,0.13538461538461538
762,0.1
99,1.0
185,0.2
4,1.0
