PassengerId,Survived
132,0.065
39,0.895
756,0.83
660,0.265
799,0.3909960317460318
683,0.01
840,0.61
706,0.095
122,0.005
115,0.24249999999999997
250,0.235
491,0.015
161,0.045
831,0.18166666666666667
58,0.37524603174603177
750,0.09346102018896135
214,0.32
124,0.965
47,0.01
94,0.08
611,0.47
667,0.015
821,0.995
302,0.005
614,0.1477906627686039
142,0.8941666666666667
162,0.985
508,0.5995833333333334
110,0.13
464,0.02
792,0.1
316,0.50375
389,0.01515909090909091
398,0.045
169,0.095
884,0.025
92,0.015
252,0.26183333333333336
647,0.0
808,0.855
593,0.04
856,0.6466666666666667
836,1.0
861,0.0
758,0.005
868,0.185
715,0.005
187,0.8083333333333332
5,0.02
740,0.0
752,0.93
455,0.005
687,0.065
120,0.075
537,0.675
573,0.94
580,0.73
805,0.015
606,0.01
618,0.985
569,0.4309960317460318
589,0.005
240,0.335
347,0.995
695,0.56
271,0.48458333333333337
490,0.88
854,0.99
90,0.005
51,0.005
588,0.19
680,0.59
327,0.0
314,0.005
315,0.09
381,0.99
144,0.105
188,0.485
8,0.545
276,0.975
690,1.0
820,0.015
118,0.125
104,0.04
710,0.8166666666666668
9,0.6354166666666667
712,0.8
887,0.195
332,0.23
11,0.745
698,0.8337470168720168
562,0.0
330,1.0
873,0.035
288,0.0
450,0.56
93,0.36
475,0.36
311,0.965
45,0.86
55,0.125
30,0.0
160,0.02
818,0.05
625,0.03
64,0.06
254,0.025
564,0.02
225,0.225
841,0.42
643,0.06
809,0.005
268,0.022916666666666665
852,0.02
832,0.925
103,0.5403333333333333
615,0.02
53,0.975
771,0.022142857142857145
234,0.24
210,0.21
220,0.1425
847,0.01375
191,0.99
32,0.87
665,0.38
147,0.14604761904761904
492,0.045
461,0.705
511,0.1477906627686039
282,0.11033333333333334
465,0.005
200,1.0
153,0.095
505,1.0
886,0.46
436,1.0
694,0.005
20,0.8509946581196582
640,0.005
526,0.030369514472455648
29,0.9348214285714286
417,0.995
472,0.01
405,0.565
673,0.015
371,0.53
468,0.165
463,0.28
40,0.425
31,0.69
849,0.395
383,0.73
875,0.765
419,0.32
525,0.4309960317460318
502,0.9533730158730159
352,0.84
435,0.565
548,0.06
308,0.975
716,0.1
442,0.017142857142857144
423,0.19194047619047616
692,0.6158333333333333
728,0.8337470168720168
620,0.12166666666666666
76,0.11458333333333331
629,0.0
482,0.0
230,0.0
13,0.675
503,0.8305134171384172
427,0.69
797,0.71
837,0.065
167,0.98
266,0.005
289,0.0
748,1.0
136,0.1
196,0.93
28,0.3283333333333333
787,0.9
251,0.0375
102,0.0
557,0.895
842,0.565
778,0.735
610,0.915
203,0.005
395,0.7893571428571429
783,0.86
653,0.055
361,0.165
714,0.4749761904761904
46,0.02
447,1.0
157,0.9427777777777777
70,0.21
105,0.025
790,0.29
181,0.015
78,0.0
223,0.165
22,0.125
50,0.94
784,0.035
320,0.98
336,0.0
718,0.9
428,0.995
305,0.005
414,0.0
19,0.985
100,0.25
860,0.4309960317460318
571,0.355
811,0.0
125,0.28
326,0.955
834,0.015
149,0.175
549,0.055
637,0.73
135,0.05
134,0.935
38,0.335
163,0.07641666666666667
595,0.23
552,0.285
554,0.01
759,0.03
532,0.4309960317460318
628,1.0
128,0.0
301,0.8337470168720168
676,0.025
180,0.365
725,0.4
612,0.0
218,0.285
654,0.9335714285714286
685,0.065
358,0.995
72,0.005
550,0.78
379,0.225
535,0.49
495,0.335
260,0.83
723,0.03
531,0.67
779,0.03090108502608503
724,0.015
586,0.995
295,0.0
114,0.365
691,0.4320833333333334
52,0.545
10,1.0
540,1.0
341,0.94
197,0.1477906627686039
762,0.05
99,0.98
185,0.315
4,1.0
