tecnica;accuracy;roc_auc_score;f1_score;log_loss;precision;recall;identificador_aleatorio1;identificador_aleatorio2;tipo_split;normalizador;redutor_dimensionalidade;pipeline;parametros;random_state_split;random_state_random_search;cross_validation_random_search;best_estimator;best_params;versao_dados
AdaBoostClassifier;0.8320000000000001;0.8126031920748487;0.7640449438202247;5.802572005359969;0.7906976744186046;0.7391304347826086;9544057;4882155;train_test_split 20%;Não utilizado;Não utilizado;"[('AdaBoostClassifier', AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None))]";{'AdaBoostClassifier__n_estimators': [5, 25, 50, 75, 100], 'AdaBoostClassifier__learning_rate': [0.5, 1.0, 1.5], 'AdaBoostClassifier__algorithm': ('SAMME', 'SAMME.R')};18;1;7;"Pipeline(memory=None,
         steps=[('AdaBoostClassifier',
                 AdaBoostClassifier(algorithm='SAMME', base_estimator=None,
                                    learning_rate=0.5, n_estimators=75,
                                    random_state=None))],
         verbose=False)";{'AdaBoostClassifier__n_estimators': 75, 'AdaBoostClassifier__learning_rate': 0.5, 'AdaBoostClassifier__algorithm': 'SAMME'};3.3
BaggingClassifier;0.856;0.8542927903137039;0.8125;4.973654165440997;0.78;0.8478260869565217;940418;7228513;train_test_split 20%;Não utilizado;Não utilizado;"[('BaggingClassifier', BaggingClassifier(base_estimator=None, bootstrap=True, bootstrap_features=False,
                  max_features=1.0, max_samples=1.0, n_estimators=10,
                  n_jobs=None, oob_score=False, random_state=None, verbose=0,
                  warm_start=False))]";{'BaggingClassifier__n_estimators': [5, 10, 15], 'BaggingClassifier__bootstrap_features': [True, False], 'BaggingClassifier__oob_score': [True, False]};18;8;6;"Pipeline(memory=None,
         steps=[('BaggingClassifier',
                 BaggingClassifier(base_estimator=None, bootstrap=True,
                                   bootstrap_features=True, max_features=1.0,
                                   max_samples=1.0, n_estimators=15,
                                   n_jobs=None, oob_score=False,
                                   random_state=None, verbose=0,
                                   warm_start=False))],
         verbose=False)";{'BaggingClassifier__oob_score': False, 'BaggingClassifier__n_estimators': 15, 'BaggingClassifier__bootstrap_features': True};3.3
BernoulliNB;0.848;0.8343423225096313;0.7912087912087912;5.2499515830413985;0.8;0.7826086956521741;319695;318883;train_test_split 20%;Não utilizado;Não utilizado;[('BernoulliNB', BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True))];{'BernoulliNB__alpha': [0, 0.5, 1.0, 1.5, 2], 'BernoulliNB__fit_prior': [True, False]};18;21;3;"Pipeline(memory=None,
         steps=[('BernoulliNB',
                 BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None,
                             fit_prior=True))],
         verbose=False)";{'BernoulliNB__fit_prior': True, 'BernoulliNB__alpha': 1.0};3.3
CalibratedClassifierCV;0.8079999999999999;0.7936158503026968;0.7391304347826085;6.63152182917615;0.7391304347826086;0.7391304347826086;5640709;7911152;train_test_split 20%;Não utilizado;Não utilizado;[('CalibratedClassifierCV', CalibratedClassifierCV(base_estimator=None, cv=None, method='sigmoid'))];{'CalibratedClassifierCV__method': ('sigmoid', 'isotonic'), 'CalibratedClassifierCV__cv': [3, 5, 10]};18;11;3;"Pipeline(memory=None,
         steps=[('CalibratedClassifierCV',
                 CalibratedClassifierCV(base_estimator=None, cv=5,
                                        method='sigmoid'))],
         verbose=False)";{'CalibratedClassifierCV__method': 'sigmoid', 'CalibratedClassifierCV__cv': 5};3.3
DecisionTreeClassifier;0.76;0.7647220693450744;0.7058823529411765;8.289434270367398;0.6428571428571429;0.7826086956521741;1700700;4976718;train_test_split 20%;Não utilizado;Não utilizado;"[('DecisionTreeClassifier', DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='gini',
                       max_depth=None, max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort='deprecated',
                       random_state=None, splitter='best'))]";{'DecisionTreeClassifier__criterion': ('gini', 'entropy'), 'DecisionTreeClassifier__splitter': ('best', 'random')};18;41;10;"Pipeline(memory=None,
         steps=[('DecisionTreeClassifier',
                 DecisionTreeClassifier(ccp_alpha=0.0, class_weight=None,
                                        criterion='entropy', max_depth=None,
                                        max_features=None, max_leaf_nodes=None,
                                        min_impurity_decrease=0.0,
                                        min_impurity_split=None,
                                        min_samples_leaf=1, min_samples_split=2,
                                        min_weight_fraction_leaf=0.0,
                                        presort='deprecated', random_state=None,
                                        splitter='best'))],
         verbose=False)";{'DecisionTreeClassifier__splitter': 'best', 'DecisionTreeClassifier__criterion': 'entropy'};3.3
ExtraTreeClassifier;0.736;0.7366538249862411;0.6732673267326733;9.118371300624695;0.6181818181818182;0.7391304347826086;2462463;2055359;train_test_split 20%;Não utilizado;Não utilizado;"[('ExtraTreeClassifier', ExtraTreeClassifier(ccp_alpha=0.0, class_weight=None, criterion='gini',
                    max_depth=None, max_features='auto', max_leaf_nodes=None,
                    min_impurity_decrease=0.0, min_impurity_split=None,
                    min_samples_leaf=1, min_samples_split=2,
                    min_weight_fraction_leaf=0.0, random_state=None,
                    splitter='random'))]";{'ExtraTreeClassifier__criterion': ('gini', 'entropy'), 'ExtraTreeClassifier__max_features': ('auto', 'sqrt', 'log2')};18;13;9;"Pipeline(memory=None,
         steps=[('ExtraTreeClassifier',
                 ExtraTreeClassifier(ccp_alpha=0.0, class_weight=None,
                                     criterion='gini', max_depth=None,
                                     max_features='sqrt', max_leaf_nodes=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     random_state=None, splitter='random'))],
         verbose=False)";{'ExtraTreeClassifier__max_features': 'sqrt', 'ExtraTreeClassifier__criterion': 'gini'};3.3
ExtraTreesClassifier;0.7759999999999999;0.7682993946064942;0.7083333333333334;7.736788260931059;0.68;0.7391304347826086;120071;4747720;train_test_split 20%;Não utilizado;Não utilizado;"[('ExtraTreesClassifier', ExtraTreesClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                     criterion='gini', max_depth=None, max_features='auto',
                     max_leaf_nodes=None, max_samples=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=100,
                     n_jobs=None, oob_score=False, random_state=None, verbose=0,
                     warm_start=False))]";{'ExtraTreesClassifier__criterion': ('gini', 'entropy'), 'ExtraTreesClassifier__max_features': ('auto', 'sqrt', 'log2')};18;6;10;"Pipeline(memory=None,
         steps=[('ExtraTreesClassifier',
                 ExtraTreesClassifier(bootstrap=False, ccp_alpha=0.0,
                                      class_weight=None, criterion='entropy',
                                      max_depth=None, max_features='auto',
                                      max_leaf_nodes=None, max_samples=None,
                                      min_impurity_decrease=0.0,
                                      min_impurity_split=None,
                                      min_samples_leaf=1, min_samples_split=2,
                                      min_weight_fraction_leaf=0.0,
                                      n_estimators=100, n_jobs=None,
                                      oob_score=False, random_state=None,
                                      verbose=0, warm_start=False))],
         verbose=False)";{'ExtraTreesClassifier__max_features': 'auto', 'ExtraTreesClassifier__criterion': 'entropy'};3.3
GaussianProcessClassifier;0.7440000000000001;0.7248211337369291;0.6521739130434783;8.8420291055682;0.6521739130434783;0.6521739130434783;6812334;4500007;train_test_split 20%;Não utilizado;Não utilizado;"[('GaussianProcessClassifier', GaussianProcessClassifier(copy_X_train=True, kernel=None, max_iter_predict=100,
                          multi_class='one_vs_rest', n_jobs=None,
                          n_restarts_optimizer=0, optimizer='fmin_l_bfgs_b',
                          random_state=None, warm_start=False))]";{'GaussianProcessClassifier__n_restarts_optimizer': [0, 5, 10, 15], 'GaussianProcessClassifier__max_iter_predict': [10, 100, 1000]};18;27;3;"Pipeline(memory=None,
         steps=[('GaussianProcessClassifier',
                 GaussianProcessClassifier(copy_X_train=True, kernel=None,
                                           max_iter_predict=10,
                                           multi_class='one_vs_rest',
                                           n_jobs=None, n_restarts_optimizer=10,
                                           optimizer='fmin_l_bfgs_b',
                                           random_state=None,
                                           warm_start=False))],
         verbose=False)";{'GaussianProcessClassifier__n_restarts_optimizer': 10, 'GaussianProcessClassifier__max_iter_predict': 10};3.3
GradientBoostingClassifier;0.84;0.8234727572922401;0.7777777777777778;5.526261794200684;0.7954545454545454;0.7608695652173914;5102146;5572746;train_test_split 20%;Não utilizado;Não utilizado;"[('GradientBoostingClassifier', GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=3,
                           max_features=None, max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=1, min_samples_split=2,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False))]";{'GradientBoostingClassifier__loss': ('deviance', 'exponential'), 'GradientBoostingClassifier__learning_rate': [0.1, 0.2, 0.001], 'GradientBoostingClassifier__criterion': ('friedman_mse', 'mse', 'mae'), 'GradientBoostingClassifier__max_features': ('auto', 'sqrt', 'log2')};18;11;9;"Pipeline(memory=None,
         steps=[('GradientBoostingClassifier',
                 GradientBoostingClassifier(ccp_alpha=0.0,
                                            criterion='friedman_mse', init=None,
                                            learning_rate=0.2,
                                            loss='exponential', max_depth=3,
                                            max_features='auto',
                                            max_leaf_nodes=None,
                                            min_impurity_decrease=0.0,
                                            min_impurity_split=None,
                                            min_samples_leaf=1,
                                            min_samples_split=2,
                                            min_weight_fraction_leaf=0.0,
                                            n_estimators=100,
                                            n_iter_no_change=None,
                                            presort='deprecated',
                                            random_state=None, subsample=1.0,
                                            tol=0.0001, validation_fraction=0.1,
                                            verbose=0, warm_start=False))],
         verbose=False)";{'GradientBoostingClassifier__max_features': 'auto', 'GradientBoostingClassifier__loss': 'exponential', 'GradientBoostingClassifier__learning_rate': 0.2, 'GradientBoostingClassifier__criterion': 'friedman_mse'};3.3
KNeighborsClassifier;0.7759999999999999;0.7682993946064942;0.7083333333333334;7.736788260931058;0.68;0.7391304347826086;8958899;1061209;train_test_split 20%;Não utilizado;Não utilizado;"[('KNeighborsClassifier', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform'))]";{'KNeighborsClassifier__n_neighbors': [3, 5, 7, 9], 'KNeighborsClassifier__weights': ('uniform', 'distance'), 'KNeighborsClassifier__algorithm': ('auto', 'ball_tree', 'kd_tree', 'brute'), 'KNeighborsClassifier__p': [1, 2]};18;7;5;"Pipeline(memory=None,
         steps=[('KNeighborsClassifier',
                 KNeighborsClassifier(algorithm='kd_tree', leaf_size=30,
                                      metric='minkowski', metric_params=None,
                                      n_jobs=None, n_neighbors=9, p=1,
                                      weights='distance'))],
         verbose=False)";{'KNeighborsClassifier__weights': 'distance', 'KNeighborsClassifier__p': 1, 'KNeighborsClassifier__n_neighbors': 9, 'KNeighborsClassifier__algorithm': 'kd_tree'};3.3
LinearDiscriminantAnalysis;0.8320000000000001;0.8171436433681893;0.7692307692307693;5.8025784021394085;0.7777777777777778;0.7608695652173914;4380982;2773734;train_test_split 20%;Não utilizado;Não utilizado;"[('LinearDiscriminantAnalysis', LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
                           solver='svd', store_covariance=False, tol=0.0001))]";{'LinearDiscriminantAnalysis__solver': ('svd', 'lsqr'), 'LinearDiscriminantAnalysis__tol': [0.001, 0.0001, 1e-05]};18;27;5;"Pipeline(memory=None,
         steps=[('LinearDiscriminantAnalysis',
                 LinearDiscriminantAnalysis(n_components=None, priors=None,
                                            shrinkage=None, solver='lsqr',
                                            store_covariance=False,
                                            tol=0.001))],
         verbose=False)";{'LinearDiscriminantAnalysis__tol': 0.001, 'LinearDiscriminantAnalysis__solver': 'lsqr'};3.3
LinearSVC;0.8240000000000001;0.8198954320308199;0.7708333333333333;6.078907803637017;0.74;0.8043478260869565;5206591;6092123;train_test_split 20%;Não utilizado;Não utilizado;"[('LinearSVC', LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, loss='squared_hinge', max_iter=1000,
          multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
          verbose=0))]";{'LinearSVC__loss': ('hinge', 'squared_hinge'), 'LinearSVC__tol': [0.001, 0.0001, 1e-05], 'LinearSVC__multi_class': ('ovr', 'crammer_singer'), 'LinearSVC__fit_intercept': [True, False], 'LinearSVC__max_iter': [100, 1000, 10000]};18;21;5;"Pipeline(memory=None,
         steps=[('LinearSVC',
                 LinearSVC(C=1.0, class_weight=None, dual=True,
                           fit_intercept=True, intercept_scaling=1,
                           loss='hinge', max_iter=10000,
                           multi_class='crammer_singer', penalty='l2',
                           random_state=None, tol=1e-05, verbose=0))],
         verbose=False)";{'LinearSVC__tol': 1e-05, 'LinearSVC__multi_class': 'crammer_singer', 'LinearSVC__max_iter': 10000, 'LinearSVC__loss': 'hinge', 'LinearSVC__fit_intercept': True};3.3
LogisticRegression;0.848;0.8343423225096313;0.7912087912087912;5.249951583041399;0.8;0.7826086956521741;1755762;9638564;train_test_split 20%;Não utilizado;Não utilizado;"[('LogisticRegression', LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False))]";{'LogisticRegression__fit_intercept': [True, False], 'LogisticRegression__solver': ('newton-cg', 'sag', 'lbfgs'), 'LogisticRegression__max_iter': [10, 100, 1000, 10000], 'LogisticRegression__warm_start': [True, False]};18;23;5;"Pipeline(memory=None,
         steps=[('LogisticRegression',
                 LogisticRegression(C=1.0, class_weight=None, dual=False,
                                    fit_intercept=True, intercept_scaling=1,
                                    l1_ratio=None, max_iter=1000,
                                    multi_class='auto', n_jobs=None,
                                    penalty='l2', random_state=None,
                                    solver='lbfgs', tol=0.0001, verbose=0,
                                    warm_start=False))],
         verbose=False)";{'LogisticRegression__warm_start': False, 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__max_iter': 1000, 'LogisticRegression__fit_intercept': True};3.3
LogisticRegressionCV;0.8640000000000001;0.8470005503577325;0.8089887640449438;4.697318367163944;0.8372093023255814;0.7826086956521741;4018032;9022063;train_test_split 20%;Não utilizado;Não utilizado;"[('LogisticRegressionCV', LogisticRegressionCV(Cs=10, class_weight=None, cv=None, dual=False,
                     fit_intercept=True, intercept_scaling=1.0, l1_ratios=None,
                     max_iter=100, multi_class='auto', n_jobs=None,
                     penalty='l2', random_state=None, refit=True, scoring=None,
                     solver='lbfgs', tol=0.0001, verbose=0))]";{'LogisticRegressionCV__fit_intercept': [True, False], 'LogisticRegressionCV__cv': ['warn', 3, 5, 7, 9], 'LogisticRegressionCV__solver': ('newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga'), 'LogisticRegressionCV__refit': [True, False], 'LogisticRegressionCV__multi_class': ('ovr', 'auto')};18;19;5;"Pipeline(memory=None,
         steps=[('LogisticRegressionCV',
                 LogisticRegressionCV(Cs=10, class_weight=None, cv=3,
                                      dual=False, fit_intercept=True,
                                      intercept_scaling=1.0, l1_ratios=None,
                                      max_iter=100, multi_class='ovr',
                                      n_jobs=None, penalty='l2',
                                      random_state=None, refit=True,
                                      scoring=None, solver='newton-cg',
                                      tol=0.0001, verbose=0))],
         verbose=False)";{'LogisticRegressionCV__solver': 'newton-cg', 'LogisticRegressionCV__refit': True, 'LogisticRegressionCV__multi_class': 'ovr', 'LogisticRegressionCV__fit_intercept': True, 'LogisticRegressionCV__cv': 3};3.3
MLPClassifier;0.848;0.8252614199229499;0.7816091954022988;5.2499387894825125;0.8292682926829268;0.7391304347826086;103955;6224810;train_test_split 20%;Não utilizado;Não utilizado;"[('MLPClassifier', MLPClassifier(activation='relu', alpha=0.0001, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(100,), learning_rate='constant',
              learning_rate_init=0.001, max_fun=15000, max_iter=200,
              momentum=0.9, n_iter_no_change=10, nesterovs_momentum=True,
              power_t=0.5, random_state=None, shuffle=True, solver='adam',
              tol=0.0001, validation_fraction=0.1, verbose=False,
              warm_start=False))]";{'MLPClassifier__hidden_layer_sizes': [(1,), (100,), (500,), (1, 3), (100, 3), (500, 3)], 'MLPClassifier__activation': ('identity', 'logistic', 'tanh', 'relu'), 'MLPClassifier__solver': ('lbfgs', 'sgd', 'adam'), 'MLPClassifier__learning_rate': ('constant', 'invscaling', 'adaptive'), 'MLPClassifier__shuffle': [True, False], 'MLPClassifier__max_iter': [100, 500, 1000], 'MLPClassifier__tol': [0.001, 0.0001, 1e-05]};18;1;8;"Pipeline(memory=None,
         steps=[('MLPClassifier',
                 MLPClassifier(activation='tanh', alpha=0.0001,
                               batch_size='auto', beta_1=0.9, beta_2=0.999,
                               early_stopping=False, epsilon=1e-08,
                               hidden_layer_sizes=(500, 3),
                               learning_rate='adaptive',
                               learning_rate_init=0.001, max_fun=15000,
                               max_iter=500, momentum=0.9, n_iter_no_change=10,
                               nesterovs_momentum=True, power_t=0.5,
                               random_state=None, shuffle=False, solver='adam',
                               tol=0.001, validation_fraction=0.1,
                               verbose=False, warm_start=False))],
         verbose=False)";{'MLPClassifier__tol': 0.001, 'MLPClassifier__solver': 'adam', 'MLPClassifier__shuffle': False, 'MLPClassifier__max_iter': 500, 'MLPClassifier__learning_rate': 'adaptive', 'MLPClassifier__hidden_layer_sizes': (500, 3), 'MLPClassifier__activation': 'tanh'};3.3
MultinomialNB;0.68;0.633324160704458;0.5121951219512195;11.05250439806304;0.5833333333333334;0.4565217391304348;9810782;6244013;train_test_split 20%;Não utilizado;Não utilizado;[('MultinomialNB', MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True))];{'MultinomialNB__alpha': [0.0, 1.0], 'MultinomialNB__fit_prior': [True, False]};18;21;7;"Pipeline(memory=None,
         steps=[('MultinomialNB',
                 MultinomialNB(alpha=1.0, class_prior=None, fit_prior=True))],
         verbose=False)";{'MultinomialNB__fit_prior': True, 'MultinomialNB__alpha': 1.0};3.3
PassiveAggressiveClassifier;0.8079999999999999;0.7936158503026968;0.7391304347826085;6.63152182917615;0.7391304347826086;0.7391304347826086;3346052;4175114;train_test_split 20%;Não utilizado;Não utilizado;"[('PassiveAggressiveClassifier', PassiveAggressiveClassifier(C=1.0, average=False, class_weight=None,
                            early_stopping=False, fit_intercept=True,
                            loss='hinge', max_iter=1000, n_iter_no_change=5,
                            n_jobs=None, random_state=None, shuffle=True,
                            tol=0.001, validation_fraction=0.1, verbose=0,
                            warm_start=False))]";{'PassiveAggressiveClassifier__fit_intercept': [True, False], 'PassiveAggressiveClassifier__shuffle': [True, False], 'PassiveAggressiveClassifier__loss': ('hinge', 'squared_hinge'), 'PassiveAggressiveClassifier__average': [True, False]};18;14;5;"Pipeline(memory=None,
         steps=[('PassiveAggressiveClassifier',
                 PassiveAggressiveClassifier(C=1.0, average=True,
                                             class_weight=None,
                                             early_stopping=False,
                                             fit_intercept=True, loss='hinge',
                                             max_iter=1000, n_iter_no_change=5,
                                             n_jobs=None, random_state=None,
                                             shuffle=False, tol=0.001,
                                             validation_fraction=0.1, verbose=0,
                                             warm_start=False))],
         verbose=False)";{'PassiveAggressiveClassifier__shuffle': False, 'PassiveAggressiveClassifier__loss': 'hinge', 'PassiveAggressiveClassifier__fit_intercept': True, 'PassiveAggressiveClassifier__average': True};3.3
Perceptron;0.8;0.7645844799119429;0.6987951807228915;6.907806453217669;0.7837837837837838;0.6304347826086957;789432;2167344;train_test_split 20%;Não utilizado;Não utilizado;"[('Perceptron', Perceptron(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0,
           fit_intercept=True, max_iter=1000, n_iter_no_change=5, n_jobs=None,
           penalty=None, random_state=0, shuffle=True, tol=0.001,
           validation_fraction=0.1, verbose=0, warm_start=False))]";{'Perceptron__penalty': (None, 'l1', 'l2', 'elasticnet'), 'Perceptron__shuffle': [True, False]};18;34;8;"Pipeline(memory=None,
         steps=[('Perceptron',
                 Perceptron(alpha=0.0001, class_weight=None,
                            early_stopping=False, eta0=1.0, fit_intercept=True,
                            max_iter=1000, n_iter_no_change=5, n_jobs=None,
                            penalty='l1', random_state=0, shuffle=False,
                            tol=0.001, validation_fraction=0.1, verbose=0,
                            warm_start=False))],
         verbose=False)";{'Perceptron__shuffle': False, 'Perceptron__penalty': 'l1'};3.3
RandomForestClassifier;0.848;0.8479636763896533;0.8041237113402062;5.249970773379721;0.7647058823529411;0.8478260869565217;3446466;2973031;train_test_split 20%;Não utilizado;Não utilizado;"[('RandomForestClassifier', RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False))]";{'RandomForestClassifier__criterion': ('gini', 'entropy'), 'RandomForestClassifier__max_features': ('auto', 'sqrt', 'log2', None), 'RandomForestClassifier__warm_start': [True, False], 'RandomForestClassifier__class_weight': ('balanced', 'balanced_subsample', None)};18;17;10;"Pipeline(memory=None,
         steps=[('RandomForestClassifier',
                 RandomForestClassifier(bootstrap=True, ccp_alpha=0.0,
                                        class_weight=None, criterion='gini',
                                        max_depth=None, max_features=None,
                                        max_leaf_nodes=None, max_samples=None,
                                        min_impurity_decrease=0.0,
                                        min_impurity_split=None,
                                        min_samples_leaf=1, min_samples_split=2,
                                        min_weight_fraction_leaf=0.0,
                                        n_estimators=100, n_jobs=None,
                                        oob_score=False, random_state=None,
                                        verbose=0, warm_start=True))],
         verbose=False)";{'RandomForestClassifier__warm_start': True, 'RandomForestClassifier__max_features': None, 'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__class_weight': None};3.3
RidgeClassifier;0.84;0.8234727572922401;0.7777777777777778;5.526261794200684;0.7954545454545454;0.7608695652173914;5871695;2425702;train_test_split 20%;Não utilizado;Não utilizado;"[('RidgeClassifier', RidgeClassifier(alpha=1.0, class_weight=None, copy_X=True, fit_intercept=True,
                max_iter=None, normalize=False, random_state=None,
                solver='auto', tol=0.001))]";{'RidgeClassifier__fit_intercept': [True, False], 'RidgeClassifier__normalize': [True, False], 'RidgeClassifier__solver': ('auto', 'svd', 'cholesky', 'lsqr', 'sparse_cg', 'sag', 'saga'), 'RidgeClassifier__tol': [0.01, 0.001, 0.0001]};18;39;6;"Pipeline(memory=None,
         steps=[('RidgeClassifier',
                 RidgeClassifier(alpha=1.0, class_weight=None, copy_X=True,
                                 fit_intercept=True, max_iter=None,
                                 normalize=True, random_state=None,
                                 solver='lsqr', tol=0.0001))],
         verbose=False)";{'RidgeClassifier__tol': 0.0001, 'RidgeClassifier__solver': 'lsqr', 'RidgeClassifier__normalize': True, 'RidgeClassifier__fit_intercept': True};3.3
RidgeClassifierCV;0.856;0.8361309851403412;0.7954545454545455;4.973628578323228;0.8333333333333334;0.7608695652173914;852861;6321133;train_test_split 20%;Não utilizado;Não utilizado;"[('RidgeClassifierCV', RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]), class_weight=None, cv=None,
                  fit_intercept=True, normalize=False, scoring=None,
                  store_cv_values=False))]";{'RidgeClassifierCV__fit_intercept': [True, False], 'RidgeClassifierCV__normalize': [True, False], 'RidgeClassifierCV__cv': [3, 5, 7, 9]};18;31;5;"Pipeline(memory=None,
         steps=[('RidgeClassifierCV',
                 RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]),
                                   class_weight=None, cv=9, fit_intercept=True,
                                   normalize=False, scoring=None,
                                   store_cv_values=False))],
         verbose=False)";{'RidgeClassifierCV__normalize': False, 'RidgeClassifierCV__fit_intercept': True, 'RidgeClassifierCV__cv': 9};3.3
SGDClassifier;0.568;0.6536873968079251;0.625;14.921090431911814;0.4591836734693878;0.9782608695652174;3566456;4031686;train_test_split 20%;Não utilizado;Não utilizado;"[('SGDClassifier', SGDClassifier(alpha=0.0001, average=False, class_weight=None,
              early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
              l1_ratio=0.15, learning_rate='optimal', loss='hinge',
              max_iter=1000, n_iter_no_change=5, n_jobs=None, penalty='l2',
              power_t=0.5, random_state=None, shuffle=True, tol=0.001,
              validation_fraction=0.1, verbose=0, warm_start=False))]";{'SGDClassifier__loss': ('hinge', 'log', 'modified_huber', 'squared_hinge', 'perceptron'), 'SGDClassifier__shuffle': [True, False], 'SGDClassifier__average': [True, False]};18;6;7;"Pipeline(memory=None,
         steps=[('SGDClassifier',
                 SGDClassifier(alpha=0.0001, average=False, class_weight=None,
                               early_stopping=False, epsilon=0.1, eta0=0.0,
                               fit_intercept=True, l1_ratio=0.15,
                               learning_rate='optimal', loss='squared_hinge',
                               max_iter=1000, n_iter_no_change=5, n_jobs=None,
                               penalty='l2', power_t=0.5, random_state=None,
                               shuffle=False, tol=0.001,
                               validation_fraction=0.1, verbose=0,
                               warm_start=False))],
         verbose=False)";{'SGDClassifier__shuffle': False, 'SGDClassifier__loss': 'squared_hinge', 'SGDClassifier__average': False};3.3
AdaBoostClassifier;0.7564102564102564;0.7277651581338459;0.6545454545454547;8.41336857030807;0.7058823529411765;0.6101694915254238;975339;5645127;train_test_split 25%;Não utilizado;nmf;"[('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('AdaBoostClassifier', AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None))]";{'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'AdaBoostClassifier__n_estimators': [5, 25, 50, 75, 100], 'AdaBoostClassifier__learning_rate': [0.5, 1.0, 1.5], 'AdaBoostClassifier__algorithm': ('SAMME', 'SAMME.R')};33;22;6;"Pipeline(memory=None,
         steps=[('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvd',
                     l1_ratio=0.0, max_iter=200, n_components=7,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('AdaBoostClassifier',
                 AdaBoostClassifier(algorithm='SAMME', base_estimator=None,
                                    learning_rate=1.0, n_estimators=25,
                                    random_state=None))],
         verbose=False)";{'nmf__solver': 'cd', 'nmf__n_components': 7, 'nmf__init': 'nndsvd', 'AdaBoostClassifier__n_estimators': 25, 'AdaBoostClassifier__learning_rate': 1.0, 'AdaBoostClassifier__algorithm': 'SAMME'};3.3
